family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
D	RTL8367D_PORT5_UNKNOWN_IP4_MCAST_OFFSET		OFFSET_SHIFT	10	10	3641
D	RTL8367D_PORT5_UNKNOWN_IP4_MCAST_MASK		MASK	0xC00	3072	3642
D	RTL8367D_PORT4_UNKNOWN_IP4_MCAST_OFFSET		OFFSET_SHIFT	8	8	3643
D	RTL8367D_PORT4_UNKNOWN_IP4_MCAST_MASK		MASK	0x300	768	3644
D	RTL8367D_PORT3_UNKNOWN_IP4_MCAST_OFFSET		OFFSET_SHIFT	6	6	3645
D	RTL8367D_PORT3_UNKNOWN_IP4_MCAST_MASK		MASK	0xC0	192	3646
D	RTL8367D_PORT2_UNKNOWN_IP4_MCAST_OFFSET		OFFSET_SHIFT	4	4	3647
D	RTL8367D_PORT2_UNKNOWN_IP4_MCAST_MASK		MASK	0x30	48	3648
D	RTL8367D_PORT1_UNKNOWN_IP4_MCAST_OFFSET		OFFSET_SHIFT	2	2	3649
D	RTL8367D_PORT1_UNKNOWN_IP4_MCAST_MASK		MASK	0xC	12	3650
D	RTL8367D_PORT0_UNKNOWN_IP4_MCAST_OFFSET		OFFSET_SHIFT	0	0	3651
D	RTL8367D_PORT0_UNKNOWN_IP4_MCAST_MASK		MASK	0x3	3	3652
D	RTL8367D_REG_UNKNOWN_IPV6_MULTICAST_CTRL0		REGISTER	0x08cb	2251	3654
D	RTL8367D_PORT7_UNKNOWN_IP6_MCAST_OFFSET		OFFSET_SHIFT	14	14	3655
D	RTL8367D_PORT7_UNKNOWN_IP6_MCAST_MASK		MASK	0xC000	49152	3656
D	RTL8367D_PORT6_UNKNOWN_IP6_MCAST_OFFSET		OFFSET_SHIFT	12	12	3657
D	RTL8367D_PORT6_UNKNOWN_IP6_MCAST_MASK		MASK	0x3000	12288	3658
D	RTL8367D_PORT5_UNKNOWN_IP6_MCAST_OFFSET		OFFSET_SHIFT	10	10	3659
D	RTL8367D_PORT5_UNKNOWN_IP6_MCAST_MASK		MASK	0xC00	3072	3660
D	RTL8367D_PORT4_UNKNOWN_IP6_MCAST_OFFSET		OFFSET_SHIFT	8	8	3661
D	RTL8367D_PORT4_UNKNOWN_IP6_MCAST_MASK		MASK	0x300	768	3662
D	RTL8367D_PORT3_UNKNOWN_IP6_MCAST_OFFSET		OFFSET_SHIFT	6	6	3663
D	RTL8367D_PORT3_UNKNOWN_IP6_MCAST_MASK		MASK	0xC0	192	3664
D	RTL8367D_PORT2_UNKNOWN_IP6_MCAST_OFFSET		OFFSET_SHIFT	4	4	3665
D	RTL8367D_PORT2_UNKNOWN_IP6_MCAST_MASK		MASK	0x30	48	3666
D	RTL8367D_PORT1_UNKNOWN_IP6_MCAST_OFFSET		OFFSET_SHIFT	2	2	3667
D	RTL8367D_PORT1_UNKNOWN_IP6_MCAST_MASK		MASK	0xC	12	3668
D	RTL8367D_PORT0_UNKNOWN_IP6_MCAST_OFFSET		OFFSET_SHIFT	0	0	3669
D	RTL8367D_PORT0_UNKNOWN_IP6_MCAST_MASK		MASK	0x3	3	3670
D	RTL8367D_REG_UNKNOWN_L2_MULTICAST_CTRL0		REGISTER	0x08cd	2253	3672
D	RTL8367D_PORT7_UNKNOWN_L2_MCAST_OFFSET		OFFSET_SHIFT	14	14	3673
D	RTL8367D_PORT7_UNKNOWN_L2_MCAST_MASK		MASK	0xC000	49152	3674
D	RTL8367D_PORT6_UNKNOWN_L2_MCAST_OFFSET		OFFSET_SHIFT	12	12	3675
D	RTL8367D_PORT6_UNKNOWN_L2_MCAST_MASK		MASK	0x3000	12288	3676
D	RTL8367D_PORT5_UNKNOWN_L2_MCAST_OFFSET		OFFSET_SHIFT	10	10	3677
D	RTL8367D_PORT5_UNKNOWN_L2_MCAST_MASK		MASK	0xC00	3072	3678
D	RTL8367D_PORT4_UNKNOWN_L2_MCAST_OFFSET		OFFSET_SHIFT	8	8	3679
D	RTL8367D_PORT4_UNKNOWN_L2_MCAST_MASK		MASK	0x300	768	3680
D	RTL8367D_PORT3_UNKNOWN_L2_MCAST_OFFSET		OFFSET_SHIFT	6	6	3681
D	RTL8367D_PORT3_UNKNOWN_L2_MCAST_MASK		MASK	0xC0	192	3682
D	RTL8367D_PORT2_UNKNOWN_L2_MCAST_OFFSET		OFFSET_SHIFT	4	4	3683
D	RTL8367D_PORT2_UNKNOWN_L2_MCAST_MASK		MASK	0x30	48	3684
D	RTL8367D_PORT1_UNKNOWN_L2_MCAST_OFFSET		OFFSET_SHIFT	2	2	3685
D	RTL8367D_PORT1_UNKNOWN_L2_MCAST_MASK		MASK	0xC	12	3686
D	RTL8367D_PORT0_UNKNOWN_L2_MCAST_OFFSET		OFFSET_SHIFT	0	0	3687
D	RTL8367D_PORT0_UNKNOWN_L2_MCAST_MASK		MASK	0x3	3	3688
D	RTL8367D_REG_PORT_TRUNK_DROP_CTRL		REGISTER	0x08ce	2254	3690
D	RTL8367D_PORT_TRUNK_DROP_CTRL_OFFSET		OFFSET_SHIFT	0	0	3691
D	RTL8367D_PORT_TRUNK_DROP_CTRL_MASK		MASK	0x1	1	3692
D	RTL8367D_REG_PORT_TRUNK_CTRL		REGISTER	0x08cf	2255	3694
D	RTL8367D_GROUP1_DPORT_HASH_OFFSET		OFFSET_SHIFT	15	15	3695
D	RTL8367D_GROUP1_DPORT_HASH_MASK		MASK	0x8000	32768	3696
D	RTL8367D_GROUP1_SPORT_HASH_OFFSET		OFFSET_SHIFT	14	14	3697
D	RTL8367D_GROUP1_SPORT_HASH_MASK		MASK	0x4000	16384	3698
D	RTL8367D_GROUP1_DIP_HASH_OFFSET		OFFSET_SHIFT	13	13	3699
D	RTL8367D_GROUP1_DIP_HASH_MASK		MASK	0x2000	8192	3700
D	RTL8367D_GROUP1_SIP_HASH_OFFSET		OFFSET_SHIFT	12	12	3701
D	RTL8367D_GROUP1_SIP_HASH_MASK		MASK	0x1000	4096	3702
D	RTL8367D_GROUP1_DMAC_HASH_OFFSET		OFFSET_SHIFT	11	11	3703
D	RTL8367D_GROUP1_DMAC_HASH_MASK		MASK	0x800	2048	3704
