family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
C	RTL8367C_PORT1_EEECFG_EEE_100M_OFFSET		OFFSET_SHIFT	11	11	259
C	RTL8367C_PORT1_EEECFG_EEE_100M_MASK		MASK	0x800	2048	260
C	RTL8367C_PORT1_EEECFG_EEE_GIGA_500M_OFFSET		OFFSET_SHIFT	10	10	261
C	RTL8367C_PORT1_EEECFG_EEE_GIGA_500M_MASK		MASK	0x400	1024	262
C	RTL8367C_PORT1_EEECFG_EEE_TX_OFFSET		OFFSET_SHIFT	9	9	263
C	RTL8367C_PORT1_EEECFG_EEE_TX_MASK		MASK	0x200	512	264
C	RTL8367C_PORT1_EEECFG_EEE_RX_OFFSET		OFFSET_SHIFT	8	8	265
C	RTL8367C_PORT1_EEECFG_EEE_RX_MASK		MASK	0x100	256	266
C	RTL8367C_PORT1_EEECFG_EEE_DSP_RX_OFFSET		OFFSET_SHIFT	6	6	267
C	RTL8367C_PORT1_EEECFG_EEE_DSP_RX_MASK		MASK	0x40	64	268
C	RTL8367C_PORT1_EEECFG_EEE_LPI_OFFSET		OFFSET_SHIFT	5	5	269
C	RTL8367C_PORT1_EEECFG_EEE_LPI_MASK		MASK	0x20	32	270
C	RTL8367C_PORT1_EEECFG_EEE_TX_LPI_OFFSET		OFFSET_SHIFT	4	4	271
C	RTL8367C_PORT1_EEECFG_EEE_TX_LPI_MASK		MASK	0x10	16	272
C	RTL8367C_PORT1_EEECFG_EEE_RX_LPI_OFFSET		OFFSET_SHIFT	3	3	273
C	RTL8367C_PORT1_EEECFG_EEE_RX_LPI_MASK		MASK	0x8	8	274
C	RTL8367C_PORT1_EEECFG_EEE_PAUSE_INDICATOR_OFFSET		OFFSET_SHIFT	2	2	275
C	RTL8367C_PORT1_EEECFG_EEE_PAUSE_INDICATOR_MASK		MASK	0x4	4	276
C	RTL8367C_PORT1_EEECFG_EEE_WAKE_REQ_OFFSET		OFFSET_SHIFT	1	1	277
C	RTL8367C_PORT1_EEECFG_EEE_WAKE_REQ_MASK		MASK	0x2	2	278
C	RTL8367C_PORT1_EEECFG_EEE_SLEEP_REQ_OFFSET		OFFSET_SHIFT	0	0	279
C	RTL8367C_PORT1_EEECFG_EEE_SLEEP_REQ_MASK		MASK	0x1	1	280
C	RTL8367C_REG_PORT1_EEETXMTR		REGISTER	0x0039	57	282
C	RTL8367C_REG_PORT1_EEERXMTR		REGISTER	0x003a	58	284
C	RTL8367C_REG_PORT1_EEEPTXMTR		REGISTER	0x003b	59	286
