path,category,size_bytes,keywords,sha256_small_files
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halhwimg8197f_rf.c,wlan_backports_8197f,78128,8197F 8197f RTL8197F,da4341080fde556692267a67110b7895a5cbcd65c3c5ac8c8aa4c23d5f74e3c2
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halhwimg8197f_rf.h,wlan_backports_8197f,6563,8197F 8197f RTL8197F,9f3bb3ee4a4ab6257fc9961ed17ada196440b310b145c2c4ff5cc343d171e374
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_8197f.c,wlan_backports_8197f,11628,8197F 8197f RTL8197F,3906e4bf15fad110eba0294b784c3abdb348d0b422931375eff6a9d5f6af5fe3
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_8197f.h,wlan_backports_8197f,1608,8197F 8197f,b95c2ad575b599299f27635b215b9ab9198d4fecbd5440799517588f4b8997ea
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_dpk_8197f.c,wlan_backports_8197f,64684,8197F 8197f RTL8197F,e358b238e54a456089939114caacb21da6a52fdfdd28b9927b21e425f5a622a9
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_dpk_8197f.h,wlan_backports_8197f,1977,8197F 8197f,2a917381e6477d4835ede1616918259db5cd0235bd7fb31de49f6612750fd384
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_iqk_8197f.c,wlan_backports_8197f,53765,8197f,ef3b9ceec50ec853e60d19de0eca1da4498be1775bad880eb262596f34d096b5
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_iqk_8197f.h,wlan_backports_8197f,1450,8197F 8197f,c43d59034840a9a4dcfbf430d045d04d83d3cdcd356420ca0930ebd6e90eefed
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/version_rtl8197f_rf.h,wlan_backports_8197f,1030,8197F RTL8197F,3511e7a3967deeda9bee9085d6154e8368c29b134a7db8e9f2ac5b1cb0ad8266
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/banner,base_files_init_scripts,372,,4be774f7a36573a8ef970a4ed1c0571043edb0078308ff264c793cacbd53d6d6
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/banner.failsafe,base_files_init_scripts,461,,fa1429cb2a86469f4ddf70f61e355b55788d33975992c6374f4c5ca7c03780f9
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/board.d/99-default_network,base_files_init_scripts,266,,e2c1ceb8b6105ecd17a2c0346f5e257552500cccad1fed4fadbfb7895437fbc5
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/device_info,base_files_init_scripts,95,,1378e1ec8c46429762870e28f4e64e079fece26e76ea6b3495fc6be8645c6418
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/diag.sh,base_files_init_scripts,948,,6eb1bce44d815f2bacbb0d929421d53b883ee24650d684dc82a1a0462d6720ec
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/ethers,base_files_init_scripts,130,,56bda09b0aa3d1e88107bfa8a1c6e4449d5c1f47245dc1c4037ff9b5db163b7c
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/fstab,base_files_init_scripts,61,,bdf59c1cd092f180f21815b7ac2aed1c5709a492f1396511631192ff610e5f00
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/group,base_files_init_scripts,137,,45e8cab268d4a2254d48ccb1f889630047e81758de54a614cad5449fdbebe19c
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/hosts,base_files_init_scripts,110,,c1a978d90673437b35fa9494e0a54294062c152bb653d490b718052ab88447fd
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/hotplug.d/net/00-sysctl,base_files_init_scripts,236,,d294992711d4fbb48d621b291ef440d50250de7d86969cb8d8f95cda52efaaab
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/init.d/boot,base_files_init_scripts,1333,,1702ed7792c35e056286662c984d9a63aa7d186b307f9b29265be13c2c9a8b41
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/init.d/done,base_files_init_scripts,263,,a0ab74adcc109ffc4987c5b81fc55acbd656cde0ff9d4d8a048f0864e668556d
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/init.d/gpio_switch,base_files_init_scripts,1379,,02f382d7cc0b538a38d314be346c5d752bcdc9434c4c8481026ce3a991dd7ea4
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/init.d/led,base_files_init_scripts,3502,,af63393541136c04e882b225275d72f1bd33481795a66a160ad671e19e68b923
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/init.d/sysctl,base_files_init_scripts,1212,,4cf88ade47f2fb71c8ad5db9f605e20a8d1cf64d28e1934da75c8b19a17d7584
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/init.d/sysfixtime,base_files_init_scripts,662,,7bd44b069ae231e611f58edf92d7c5b8253d9931c66c3051618dd620b7ac2d5c
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/init.d/system,base_files_init_scripts,1007,,55a16f8e7940740d3370a2c4f80ccaeea905082fba5f358096c27401bf7ab82a
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/init.d/umount,base_files_init_scripts,125,,b7e3dbb6d8d8c2f2fad0468bc1d4c0ad833adec164d701a7e59e2b579db9c2ce
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/inittab,base_files_init_scripts,106,,8b395f7d827753e1e92d4a1c369d9fe16caa23bf742b3f78e4599c4dd9b1b6e3
